test_subject,accuracy,precision,recall,f1,best_val_acc
S01,0.0,0.0,0.0,0.0,0.77
S02,0.17857142857142858,0.14064625850340137,0.17857142857142858,0.14143990929705214,0.74
S03,0.17857142857142858,0.09537815126050421,0.17857142857142858,0.11496598639455782,0.73
S04,0.05357142857142857,0.026785714285714284,0.05357142857142857,0.03571428571428571,0.78
S05,0.17857142857142858,0.11547619047619048,0.17857142857142858,0.09523809523809523,0.78
S06,0.17857142857142858,0.12270408163265305,0.17857142857142858,0.13151927437641725,0.74
S07,0.125,0.11616161616161616,0.125,0.08194662480376766,0.71
S08,0.08928571428571429,0.09897959183673469,0.08928571428571429,0.06645021645021645,0.76
S09,0.17857142857142858,0.12871572871572873,0.17857142857142858,0.14191522762951334,0.78
S10,0.2857142857142857,0.16111111111111115,0.2857142857142857,0.2021105878248735,0.74
