test_subject,accuracy,precision,recall,f1,best_val_acc
S01,0.008928571428571428,0.003246753246753247,0.008928571428571428,0.0047619047619047615,0.9900497512437811
S02,0.17857142857142858,0.22612942612942613,0.17857142857142858,0.17327956823755145,0.9601990049751243
S03,0.2857142857142857,0.23299302177011155,0.2857142857142857,0.2166577742207994,0.9651741293532339
S04,0.1875,0.15007410007410008,0.1875,0.13972625732908792,0.9800995024875622
S05,0.22321428571428573,0.14452297660693464,0.22321428571428573,0.1497243216800895,0.9800995024875622
S06,0.16964285714285715,0.10787545787545787,0.16964285714285715,0.12608923167929378,0.9850746268656716
S07,0.22321428571428573,0.1759189640768588,0.22321428571428573,0.15600297675769373,0.9601990049751243
S08,0.16964285714285715,0.1415113871635611,0.16964285714285715,0.11373159947013936,0.9900497512437811
S09,0.2857142857142857,0.24372294372294373,0.2857142857142857,0.23795445746665259,0.9402985074626866
S10,0.2767857142857143,0.2525780798149219,0.2767857142857143,0.2173039923039923,0.9552238805970149
