test_subject,accuracy,precision,recall,f1,best_val_acc
S01,0.017857142857142856,0.003105590062111801,0.017857142857142856,0.005291005291005291,0.78
S02,0.10714285714285714,0.03968253968253969,0.10714285714285714,0.05454545454545455,0.72
S03,0.21428571428571427,0.19367747098839533,0.21428571428571427,0.16672850958565247,0.69
S04,0.08928571428571429,0.05208333333333333,0.08928571428571429,0.0625,0.69
S05,0.14285714285714285,0.047142857142857146,0.14285714285714285,0.06732348111658457,0.76
S06,0.16071428571428573,0.10286281179138322,0.16071428571428573,0.12226662226662224,0.68
S07,0.16071428571428573,0.14047619047619048,0.16071428571428573,0.11247165532879817,0.81
S08,0.16071428571428573,0.25892857142857145,0.16071428571428573,0.16130952380952382,0.73
S09,0.19642857142857142,0.1464285714285714,0.19642857142857142,0.14788188002473718,0.76
S10,0.26785714285714285,0.18609307359307364,0.26785714285714285,0.20646258503401357,0.78
